altitude,density,u,v
1829.26828063426,1.0474826517666225,14.613753152315276,8.81039351674849
1834.57338287564,1.0469758048856201,14.543463032257574,9.082079634448693
1839.92789858249,1.0463463805383175,14.594686372341062,9.198516376950536
1845.28089009428,1.0455626615582314,14.645506685135892,9.180874530723571
1850.64583798609,1.0449714008354158,14.556345018974465,9.103249892284762
1855.968772927,1.0441539806381817,14.317365734321628,9.099721481149123
1861.28828104695,1.0436081093134666,14.062733217264578,9.205573200514586
1866.61254187576,1.0430231921208084,13.95171907340127,9.350237217573804
1871.98171754334,1.0422782474715515,13.987800851646313,9.501958008481678
1877.4078453961,1.0412950738284164,14.067870629193735,9.55488383354699
1882.80620766697,1.040470738456805,14.101532362266529,9.50548616285155
1888.1697852206,1.0397286645265535,14.013011643325674,9.403162932254657
1893.46767631935,1.0388804216092848,13.80432145959163,9.314953128558772
1898.71050969576,1.0379634033344003,13.550208255534312,9.353765418122652
1903.90947243473,1.0370914941222775,13.349733133728082,9.516071399027801
1909.18258222469,1.0364791039937469,13.272574011503426,9.681905761195793
1914.49536149507,1.03586183886115,13.295124108579303,9.805399412989193
1919.79463451494,1.0353998793896972,13.353781896819445,9.844211668043064
1925.08026957626,1.0347483230491341,13.38179760956349,9.75953007981938
1930.36288028283,1.0340975509342203,13.343835398600485,9.660735243715692
1935.62996416298,1.0334491937666457,13.245548109070642,9.590167398233113
1940.91316074302,1.0329902661072536,13.119355847058424,9.586638993461007
1946.19728482107,1.0320727996424808,13.018197585279497,9.600752538792308
1951.48856000138,1.0308884588979488,12.96349711040274,9.61133768071195
1956.81468251019,1.029511227599015,12.940322481875032,9.55841176847429
1962.16739950629,1.0280953294353699,12.923425198282194,9.526656201001972
1967.47159244345,1.0274091791310787,12.893262190214617,9.54782635629409
1972.69621834077,1.0268095879887502,12.87507903488158,9.56899682578015
1977.92714707725,1.0262852896976373,12.920844594690504,9.604280722526868
1983.16159228344,1.0257986305532911,12.998284737459455,9.621922663285442
1988.37842204452,1.0253143898104928,13.047754675251534,9.540769645779859
1993.51297737278,1.0248030309661773,13.052683859503487,9.399633968333047
1998.6288819217,1.0242563911930505,13.006994545173937,9.3361228843816
2003.73127502377,1.0237874352095138,12.9289526756857,9.360821574036601
2008.80425051884,1.023284555117437,12.864742455230509,9.42786081466874
2013.91918365731,1.0228142665695028,12.861901878138955,9.586638528824919
2019.02591732494,1.0222695184710553,12.943057895405342,9.678376673366332
2024.08240986816,1.021807080470546,13.078620572915334,9.678376658049915
2029.12894660753,1.0214972513408271,13.206338170250232,9.639564337488558
2034.18813284341,1.021072347230049,13.263641759559395,9.611337176659257
2039.26873842892,1.0205691642932466,13.276472166425535,9.653677823959855
2044.39607146083,1.0201734512312262,13.279046954552504,9.706603639284019
2049.50848028839,1.0197796770425562,13.299430305699497,9.73835911495393
2054.6296875952,1.0196114544820951,13.367580820287325,9.706603564014701
2059.77342742895,1.019704875515764,13.472739507313097,9.696018368687154
2064.94169686175,1.0196815703741218,13.550774677876266,9.748944055457883
2070.19028597317,1.0192693029980742,13.56708137689095,9.787756474443878
2075.50852602758,1.018658984836887,13.530663773623639,9.766586088009513
2080.81257550625,1.0178996710010813,13.48844480284742,9.692489832998023
2086.10077738427,1.0172563323763972,13.492241632727264,9.568996109911357
2091.4154014848,1.0165722417758436,13.520895004512147,9.487843086081227
2096.77803752316,1.0159578727281138,13.548201162038866,9.544297312254782
2102.21953645987,1.0152582916914012,13.56268924945353,9.703074875669909
2107.77352806422,1.0145824057491837,13.588237678773899,9.878990176949593
2113.43809998719,1.0138550987206172,13.676247715287078,10.004500193748306
2119.14775266926,1.0130473064545427,13.730958474066233,10.059442232642123
2124.91262938481,1.0122707204371375,13.80226260143454,10.017101491994442
2130.67703350375,1.0114948223480114,13.78347859612791,9.978289143411473
2136.4679232638,1.0107912050360992,13.703680035885906,10.038271743091466
2142.25138832485,1.0100890056829914,13.651516903755189,10.214691239974206
2147.99728807928,1.009167274762297,13.701970726574514,10.486377290928305
2153.64996298537,1.008333314004104,13.885889005126455,10.666325022871902
2159.30789988459,1.0075368542004175,14.131040414769767,10.676910339170979
2164.9724999315,1.0067775900733422,14.321627897383154,10.571058589441469
2170.64542919111,1.0060178634531558,14.40213987693237,10.447564879304354
2176.31988651026,1.0054077823266503,14.34196185496365,10.387582193190354
2181.96846888546,1.004726711561918,14.193512903339876,10.426394440750496
2187.65634887923,1.003966559580779,14.027748844642389,10.639610000394287
2193.37859694734,1.0032771224920882,13.968365572594971,10.902727092593672
2199.15000021437,1.0026191065897236,14.086836030483376,11.29084983606568
2204.91392774835,1.0018880420542047,14.2357367677757,11.33319067909535
2210.57994295472,1.0012442496359224,14.462458366855087,11.336719042415336
2216.11541220575,1.0005802201099199,14.5891559171111,11.156771088111737
2221.64408158202,0.9999174669552319,14.555396930218063,10.945067610015593
2227.21693585655,0.9992124371760152,14.369855746311055,10.894313018767761
2232.79755338782,0.9985625219818027,14.326806174998147,10.870428481355573
2238.11554819086,0.9979456525462951,14.23020567021276,10.961352351669673
2243.66627408325,0.9973558059314771,14.36904599678829,11.255565622126836
2249.16925710889,0.9966982385650112,14.386810954484357,11.29286590548128
2254.55268056113,0.9962411454163208,14.507415812552528,11.203143946397848
2259.82357465512,0.9956873918225229,14.484380684663192,10.987407858459807
2265.10827131985,0.9951691166829679,14.541466697947953,10.796874898815767
2270.35515478765,0.9946558055737511,14.497982311468332,10.612855728256042
2275.75842096995,0.9942338194072575,14.377322969456598,10.714093352771043
2281.04496795693,0.9937527271240031,14.287243473265749,10.833787180552319
2286.31448542537,0.9933108592139107,14.454480581988406,11.107373094709505
2291.61506004885,0.9927544055936017,14.49839408078421,11.068560760479635
2297.01379020407,0.9922227326956217,14.55236508014457,11.054447155352072
2302.51426470489,0.9917153514647,14.541225587382687,10.934481673195787
2308.0021295165,0.9911912879705901,14.497176390207326,10.807459763300795
2313.48907652871,0.9906670013030657,14.484237547009835,10.758062270068745
2318.9544729484,0.9901650741633103,14.554239459367148,10.761590624293266
2324.45416388441,0.9896584909356161,14.718419308333038,10.758062193607909
2329.97555898141,0.9891861687001979,14.92987390378785,10.666828060326266
2335.52113599342,0.9886372799973134,15.063353790583202,10.420344757639652
2341.07097226926,0.9881248852565498,15.13158126634492,10.21821836029727
2346.62325729877,0.9876000883612067,15.133416874583576,10.197047811000338
2352.17379956548,0.9870751757151952,15.105469319520445,10.125976066706778
2357.69444732303,0.9865542002179876,15.184283077498838,10.207633044423321
2363.16645380807,0.9860160517766675,15.147104218993997,10.13706519022525
2368.65942531654,0.9855116989313993,15.099134790440736,10.104301513619793
